Disease,Fiscal Year,Gender,Age Group,Population,Incidence,Prevalence,Mortality with Disease,Mortality without Disease
Diabetes,1999,F,1 to 4,651470,150.0,340,0.0,220.0
Diabetes,1999,F,5 to 9,918920,280.0,1230,0.0,110.0
Diabetes,1999,F,10 to 14,910710,390.0,2250,0.0,100.0
Diabetes,1999,F,15 to 19,918890,480.0,3360,10.0,280.0
Diabetes,1999,F,20 to 24,913070,700.0,4570,10.0,310.0
Diabetes,1999,F,25 to 29,947240,1270.0,7000,20.0,330.0
Diabetes,1999,F,30 to 34,1058660,1990.0,10700,30.0,430.0
Diabetes,1999,F,35 to 39,1250620,3080.0,17200,80.0,790.0
Diabetes,1999,F,40 to 44,1202800,4290.0,24120,110.0,1260.0
Diabetes,1999,F,45 to 49,1068500,5660.0,33080,200.0,1600.0
Diabetes,1999,F,50 to 54,940540,7100.0,45360,400.0,2160.0
Diabetes,1999,F,55 to 59,719670,7260.0,49780,620.0,2580.0
Diabetes,1999,F,60 to 64,594440,7570.0,56620,950.0,3190.0
Diabetes,1999,F,65 to 69,556600,8120.0,66130,1660.0,4610.0
Diabetes,1999,F,70 to 74,514330,8050.0,70780,2570.0,6890.0
Diabetes,1999,F,75 to 79,448370,7270.0,64550,3650.0,10020.0
Diabetes,1999,F,80 to 84,298460,4640.0,41640,3690.0,12020.0
Diabetes,1999,F,85+,294630,4180.0,34280,5670.0,29840.0
Diabetes,1999,M,1 to 4,680830,200.0,440,0.0,300.0
Diabetes,1999,M,5 to 9,964770,280.0,1420,0.0,130.0
Diabetes,1999,M,10 to 14,956110,410.0,2350,0.0,200.0
Diabetes,1999,M,15 to 19,968450,480.0,3570,10.0,580.0
Diabetes,1999,M,20 to 24,937610,570.0,4230,10.0,790.0
Diabetes,1999,M,25 to 29,952890,970.0,5850,20.0,730.0
Diabetes,1999,M,30 to 34,1053050,1800.0,9900,50.0,950.0
Diabetes,1999,M,35 to 39,1254310,3290.0,17680,90.0,1430.0
Diabetes,1999,M,40 to 44,1197910,5350.0,28160,180.0,1940.0
Diabetes,1999,M,45 to 49,1060470,7690.0,42180,380.0,2460.0
Diabetes,1999,M,50 to 54,941360,10100.0,61880,650.0,3220.0
Diabetes,1999,M,55 to 59,716210,10140.0,68550,1140.0,3940.0
Diabetes,1999,M,60 to 64,572650,9860.0,72650,1750.0,5060.0
Diabetes,1999,M,65 to 69,517380,10210.0,78720,2780.0,7420.0
Diabetes,1999,M,70 to 74,431760,8660.0,73590,3910.0,9970.0
Diabetes,1999,M,75 to 79,321030,6340.0,56340,4550.0,12160.0
Diabetes,1999,M,80 to 84,180630,3430.0,30230,3730.0,11230.0
Diabetes,1999,M,85+,131070,2040.0,18220,3590.0,16200.0
Diabetes,2000,F,1 to 4,634650,170.0,370,0.0,200.0
Diabetes,2000,F,5 to 9,908790,320.0,1400,0.0,80.0
Diabetes,2000,F,10 to 14,924990,410.0,2390,0.0,130.0
Diabetes,2000,F,15 to 19,925370,420.0,3530,10.0,250.0
Diabetes,2000,F,20 to 24,923520,780.0,4950,20.0,290.0
Diabetes,2000,F,25 to 29,941100,1340.0,7650,30.0,310.0
Diabetes,2000,F,30 to 34,1045940,2040.0,11700,40.0,420.0
Diabetes,2000,F,35 to 39,1237520,3260.0,18890,50.0,760.0
Diabetes,2000,F,40 to 44,1226940,4360.0,26820,100.0,1090.0
Diabetes,2000,F,45 to 49,1101330,5760.0,36530,230.0,1580.0
Diabetes,2000,F,50 to 54,981570,7650.0,50920,430.0,2270.0
Diabetes,2000,F,55 to 59,746570,7440.0,55130,600.0,2570.0
Diabetes,2000,F,60 to 64,608870,7260.0,61100,950.0,3140.0
Diabetes,2000,F,65 to 69,555160,7920.0,70380,1620.0,4430.0
Diabetes,2000,F,70 to 74,517570,7650.0,75670,2600.0,6470.0
Diabetes,2000,F,75 to 79,453750,6740.0,70340,3720.0,9620.0
Diabetes,2000,F,80 to 84,313300,4470.0,46870,3950.0,11940.0
Diabetes,2000,F,85+,306740,3970.0,38710,6280.0,30760.0
Diabetes,2000,M,1 to 4,664110,210.0,470,0.0,250.0
Diabetes,2000,M,5 to 9,953070,320.0,1540,0.0,180.0
Diabetes,2000,M,10 to 14,970700,490.0,2620,0.0,150.0
Diabetes,2000,M,15 to 19,976300,400.0,3770,10.0,530.0
Diabetes,2000,M,20 to 24,950140,540.0,4500,20.0,700.0
Diabetes,2000,M,25 to 29,947060,950.0,6210,30.0,710.0
Diabetes,2000,M,30 to 34,1040950,1850.0,10530,50.0,880.0
Diabetes,2000,M,35 to 39,1245060,3400.0,19220,90.0,1340.0
Diabetes,2000,M,40 to 44,1225920,5400.0,30680,170.0,1790.0
Diabetes,2000,M,45 to 49,1092550,7700.0,46440,370.0,2410.0
Diabetes,2000,M,50 to 54,980440,10440.0,68690,640.0,3380.0
Diabetes,2000,M,55 to 59,744660,10320.0,76250,1140.0,3950.0
Diabetes,2000,M,60 to 64,586890,9870.0,79410,1770.0,4940.0
Diabetes,2000,M,65 to 69,516890,9610.0,84390,2730.0,6950.0
Diabetes,2000,M,70 to 74,441420,8290.0,80660,4010.0,9580.0
Diabetes,2000,M,75 to 79,328060,5880.0,61490,4720.0,11620.0
Diabetes,2000,M,80 to 84,191190,3300.0,34500,4000.0,11410.0
Diabetes,2000,M,85+,136970,2070.0,20550,4030.0,16490.0
Diabetes,2001,F,1 to 4,619920,170.0,390,0.0,180.0
Diabetes,2001,F,5 to 9,892550,300.0,1490,0.0,100.0
Diabetes,2001,F,10 to 14,940210,400.0,2520,0.0,100.0
Diabetes,2001,F,15 to 19,930820,470.0,3720,10.0,260.0
Diabetes,2001,F,20 to 24,935770,800.0,5390,10.0,280.0
Diabetes,2001,F,25 to 29,939180,1440.0,8310,10.0,310.0
Diabetes,2001,F,30 to 34,1039430,2290.0,12900,30.0,470.0
Diabetes,2001,F,35 to 39,1213210,3560.0,20750,70.0,770.0
Diabetes,2001,F,40 to 44,1248310,4800.0,29790,110.0,1150.0
Diabetes,2001,F,45 to 49,1132250,6200.0,40250,220.0,1640.0
Diabetes,2001,F,50 to 54,996060,7770.0,54500,410.0,2190.0
Diabetes,2001,F,55 to 59,801060,8100.0,62820,700.0,2650.0
Diabetes,2001,F,60 to 64,628860,7600.0,66240,990.0,3110.0
Diabetes,2001,F,65 to 69,555160,7860.0,74510,1690.0,4270.0
Diabetes,2001,F,70 to 74,521500,7620.0,80750,2720.0,6560.0
