Year,Canada,China,Mexico,United Kingdom,United States,India,Japan,Spain,Kenya,Ghana,Nigeria,Saudi Arabia,Singapore
1960,2294.56881421577,88.722497622435,342.016187342239,1380.30624126257,3007.12344537862,83.7946836721907,478.995340162869,396.39225333761397,97.62153057863951,182.979246224725,92.8118675253452,,427.874822124962
1961,2231.2938237478,75.0489152135494,359.29099450970597,1452.54470901356,3066.56286916615,87.0311661449854,563.586759838827,450.053289246968,94.8352535524693,189.713214561876,96.811563813563,,448.953323596009
1962,2255.23004413036,70.1220819567229,374.445430155351,1513.6514485492596,3243.8430775498805,91.6579105818302,633.640315173776,520.206131380005,100.60425499174299,195.120016077062,104.194016425702,,471.87435357005205
1963,2354.83912197975,73.42039214025841,403.824180413223,1592.6144766156199,3374.51517105082,103.135871391376,717.866915230894,609.487384056513,104.012701298759,210.96897849835705,107.32921937644801,,510.98051928155195
1964,2529.5181790541,84.5733973268426,463.896331375075,1729.3999780356799,3573.94118474743,117.84282556275299,835.657252484116,675.241639141208,108.558932752822,230.43129191713902,112.933730562327,,485.296925203754
1965,2739.5858492818898,97.4700995061623,489.202771811987,1850.95476855498,3827.52710972039,121.704754280676,919.776688184802,774.761609330096,104.992173344736,266.318714877505,116.93053023763001,,516.289567126266
1966,3010.70590757947,103.181173206667,528.9442771060479,1959.6278296212602,4146.31664631665,91.7968816968293,1058.5035609090198,889.6598720115289,118.556282047262,269.45923557261904,124.02107987068999,,566.533791090293
1967,3173.07619352225,95.4966914845591,559.911919920292,2023.62756371118,4336.42658722171,98.26248565936741,1228.9092104006,968.3067817659828,121.38075149977502,216.841479579139,99.1666755249422,,625.715602873294
1968,3411.0601543445696,90.3713288302452,600.561804197751,1896.3867486073493,4695.92339043178,101.864956092725,1450.61965234374,950.545740593734,128.85766931067,202.761861045246,96.95829503901888,776.9751041422902,708.260498167471
1969,3703.990405255289,98.8898847120702,644.8579500822619,2032.3470096450305,5032.14474262003,109.76019029467,1669.09819990781,1077.67869994591,134.193723980301,233.651269791372,120.931169162556,800.795916424689,812.261674834967
1970,4115.65651596174,111.822722675711,683.102206184862,2347.54431773747,5246.88371730098,114.663703821518,2003.64704735892,1208.99666177967,142.49741854293,257.65203145901796,223.50680449796602,921.345154787928,925.281365186828
1971,4579.27254371988,117.181593075991,729.732129272449,2649.8015138722303,5623.44397840712,120.95237897719299,2234.26166584905,1359.76939667218,152.553677274524,273.822796409195,159.81154351959802,1178.5971302468902,1070.8170616846
1972,5133.78779554481,130.111264852008,814.311779701174,3030.43251411977,6109.92586804894,125.41655160581499,2917.65897572505,1709.19371762225,174.397946016905,232.539862332294,208.64453688130504,1514.25831293022,1263.659355126
1973,5861.661641198511,155.07843885033898,964.87535318316,3426.2762205037798,6741.3323643639515,146.625104408953,3931.3016274221995,2252.51385719224,199.69516250779702,263.685963969709,251.51791240796902,2231.7913525423,1684.3410852713198
