TYPE,YEAR,MONTH,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Mischief,2015,3,26XX E 49TH AVE,Victoria-Fraserview,496065.581256,5452452.21332
Theft from Vehicle,2015,12,34XX WILLIAM ST,Hastings-Sunrise,497850.8008,5457932.703480002
Theft from Vehicle,2015,4,34XX WILLIAM ST,Hastings-Sunrise,497879.450446,5457923.32039
Theft from Vehicle,2015,10,34XX WILLIAM ST,Hastings-Sunrise,497901.62345,5457932.27994
Theft from Vehicle,2015,9,34XX WILLIAM ST,Hastings-Sunrise,497921.510576,5457932.11421
Mischief,2015,8,26XX E 24TH AVE,Renfrew-Collingwood,496260.101745,5455121.986819998
Other Theft,2015,11,8XX HORNBY ST,Central Business District,491120.406852,5458865.8317800015
Theft from Vehicle,2015,7,34XX WORTHINGTON DR,Renfrew-Collingwood,497884.023946,5455686.229669998
Other Theft,2015,11,8XX HORNBY ST,Central Business District,491122.56441800005,5458868.0119
Theft from Vehicle,2015,10,34XX WORTHINGTON DR,Renfrew-Collingwood,497889.558924,5455680.68777
Mischief,2015,11,26XX E 21ST AVE,Renfrew-Collingwood,496293.23940600007,5455416.631080002
Mischief,2015,7,26XX E 18TH AVE,Renfrew-Collingwood,496223.8698770001,5455693.5750400005
Mischief,2015,6,26XX DUKE ST,Renfrew-Collingwood,496281.8773300001,5454098.04583
Mischief,2015,1,26XX COMMERCIAL DR,Kensington-Cedar Cottage,494915.32177,5456473.12108
Other Theft,2015,1,1XX W PENDER ST,Central Business District,492154.689525,5458707.75871
Mischief,2015,11,26XX CAROLINA ST,Mount Pleasant,493369.713245,5456493.79954
Mischief,2015,12,26XX ALBERTA ST,Mount Pleasant,491928.209001,5456557.37581
Theft of Vehicle,2015,11,8XX E 28TH AVE,Kensington-Cedar Cottage,493684.224495,5454753.61364
Mischief,2015,4,26XX ADANAC ST,Hastings-Sunrise,496237.249096,5458307.45129
Mischief,2015,7,25XX YALE ST,Hastings-Sunrise,496152.849365,5459772.71902
Other Theft,2015,10,16XX JOHNSTON ST,Fairview,490131.352759,5457743.78834
Theft from Vehicle,2015,6,34XX YARDLEY AVE,Renfrew-Collingwood,497713.224628,5454130.9553
Other Theft,2015,6,39XX W 18TH AVE,Dunbar-Southlands,486058.054619,5455983.66358
Other Theft,2015,4,8XX HORNBY ST,Central Business District,491142.009153,5458874.66058
Other Theft,2015,4,8XX HORNBY ST,Central Business District,491142.009153,5458874.66058
Other Theft,2015,5,8XX HORNBY ST,Central Business District,491142.009153,5458874.66058
Other Theft,2015,6,8XX HORNBY ST,Central Business District,491142.009153,5458874.66058
Other Theft,2015,10,8XX HORNBY ST,Central Business District,491142.009153,5458874.66058
Mischief,2015,4,25XX WALL ST,Hastings-Sunrise,496050.840962,5459830.8926800005
Mischief,2015,3,25XX WALL ST,Hastings-Sunrise,496050.840962,5459830.8926800005
Mischief,2015,3,25XX WALL ST,Hastings-Sunrise,496043.148547,5459818.84428
Mischief,2015,7,25XX W 6TH AVE,Kitsilano,488131.111807,5457106.17588
Mischief,2015,4,25XX W 4TH AVE,Kitsilano,488187.562034,5457288.85141
Theft from Vehicle,2015,2,35XX ADANAC ST,Hastings-Sunrise,498034.14111400006,5458292.65266
Theft from Vehicle,2015,2,35XX ADANAC ST,Hastings-Sunrise,498034.14111400006,5458292.65266
Theft from Vehicle,2015,7,35XX ADANAC ST,Hastings-Sunrise,498034.14111400006,5458292.65266
Theft from Vehicle,2015,9,35XX ADANAC ST,Hastings-Sunrise,498034.14111400006,5458292.65266
Theft from Vehicle,2015,10,35XX ADANAC ST,Hastings-Sunrise,498034.14111400006,5458292.65266
Theft from Vehicle,2015,12,35XX ADANAC ST,Hastings-Sunrise,498034.14111400006,5458292.65266
Other Theft,2015,1,8XX HOWE ST,Central Business District,491166.148096,5458763.20703
Mischief,2015,12,3XX ALEXANDER ST,Strathcona,492893.91198,5459034.72956
Theft from Vehicle,2015,12,35XX ASH ST,South Cambie,491401.355198,5455722.59006
Theft from Vehicle,2015,12,35XX BELLA VISTA ST,Kensington-Cedar Cottage,494874.319153,5455552.28275
Theft from Vehicle,2015,3,35XX BELLA VISTA ST,Kensington-Cedar Cottage,494874.994623,5455612.95438
Other Theft,2015,7,8XX HOWE ST,Central Business District,491178.965367,5458775.86302
Other Theft,2015,9,8XX HOWE ST,Central Business District,491178.965367,5458775.86302
Mischief,2015,6,3XX ALEXANDER ST,Strathcona,492893.91198,5459034.72956
Other Theft,2015,8,8XX HOWE ST,Central Business District,491189.646425,5458786.40969
Other Theft,2015,11,8XX HOWE ST,Central Business District,491189.646425,5458786.40969
Other Theft,2015,1,16XX JOHNSTON ST,Fairview,490135.033475,5457739.25666
Mischief,2015,11,25XX W 14TH AVE,Kitsilano,488136.99057,5456291.83077
Theft from Vehicle,2015,6,35XX CAMBIE ST,Riley Park,491619.076437,5455631.59552
Mischief,2015,8,25XX W 13TH AVE,Kitsilano,488067.337503,5456404.7083
Mischief,2015,4,25XX W 10TH AVE,Kitsilano,488095.9217970001,5456705.43768
Theft from Vehicle,2015,7,35XX CAMBRIDGE ST,Hastings-Sunrise,497942.563888,5459322.918880002
Other Theft,2015,8,8XX JACKSON AVE,Strathcona,493187.603102,5458294.56765
Other Theft,2015,8,8XX JACKSON AVE,Strathcona,493187.603102,5458294.56765
Other Theft,2015,3,12XX E 41ST AVE,Sunset,494182.931747,5453326.33834
Other Theft,2015,10,8XX JACKSON AVE,Strathcona,493196.638045,5458290.68297
Mischief,2015,11,3XX ABBOTT ST,Central Business District,492236.093301,5458907.39931
Mischief,2015,6,25XX RENFREW ST,Renfrew-Collingwood,496770.838522,5456514.26987
