TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,CELL,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME
2919,2707,W 35TH AV,ARBUTUS RIDGE,11,TRAFALGAR ST,5000,ODD,N,5,31.00,,B,N,Y, ,AESCULUS,HIPPOCASTANUM,COMMON HORSECHESTNUT
2920,2794,W 23RD AV,ARBUTUS RIDGE,8,MACDONALD ST,3900,EVEN,N,1,3.00,20090227,3,N,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE
2922,2794,W 23RD AV,ARBUTUS RIDGE,10,MACDONALD ST,3900,EVEN,N,1,3.00,20090227,3,N,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE
2923,2794,W 23RD AV,ARBUTUS RIDGE,12,MACDONALD ST,3900,EVEN,N,1,3.00,20090206,3,Y,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE
1110,5410,BALSAM ST,ARBUTUS RIDGE,16,BALSAM ST,5400,EVEN,N,5,19.00,,L,N,N, ,FRAXINUS,AMERICANA,WHITE ASH
1114,5410,BALSAM ST,ARBUTUS RIDGE,17,BALSAM ST,5400,EVEN,N,5,17.50,,L,N,N, ,FRAXINUS,AMERICANA,WHITE ASH
734,2250,W 33RD AV,ARBUTUS RIDGE,3,W 33RD AV,2200,EVEN,N,1,3.00,,12,N,Y, ,MAGNOLIA,KOBUS,KOBUS MAGNOLIA 
762,5597,YEW ST,ARBUTUS RIDGE,22,W 40TH AV,2200,ODD,N,1,3.00,,8,N,Y,SHIROFUGEN,PRUNUS,SERRULATA,SHIROFUGEN CHERRY
1492,5410,BALSAM ST,ARBUTUS RIDGE,18,BALSAM ST,5400,EVEN,N,5,20.00,,L,N,N, ,ACER,CAMPESTRE,HEDGE MAPLE
2946,2799,W 23RD AV,ARBUTUS RIDGE,20,MACDONALD ST,3800,EVEN,N,1,3.00,20090210,3,Y,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE
2951,2799,W 23RD AV,ARBUTUS RIDGE,22,MACDONALD ST,3800,EVEN,N,1,3.00,20090210,3,Y,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE
2957,2799,W 23RD AV,ARBUTUS RIDGE,24,MACDONALD ST,3800,EVEN,N,1,3.00,20090210,3,Y,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE
2960,2796,W 22ND AV,ARBUTUS RIDGE,8,MACDONALD ST,3800,EVEN,N,1,3.00,20090210,3,Y,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE
2961,2796,W 22ND AV,ARBUTUS RIDGE,10,MACDONALD ST,3800,EVEN,N,1,3.00,20090206,3,Y,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE
2962,2796,W 22ND AV,ARBUTUS RIDGE,12,MACDONALD ST,3800,EVEN,N,1,3.00,20090206,3,Y,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE
2963,2796,W 21ST AV,ARBUTUS RIDGE,8,MACDONALD ST,3700,EVEN,N,1,3.00,20090206,3,Y,Y, ,CARPINUS,JAPONICA,JAPANESE HORNBEAM
2964,2796,W 21ST AV,ARBUTUS RIDGE,10,MACDONALD ST,3700,EVEN,N,1,3.00,20090206,3,Y,Y, ,CARPINUS,JAPONICA,JAPANESE HORNBEAM
2965,2796,W 21ST AV,ARBUTUS RIDGE,12,MACDONALD ST,3700,EVEN,N,1,3.00,20090206,3,Y,Y, ,CARPINUS,JAPONICA,JAPANESE HORNBEAM
2966,2797,W 21ST AV,ARBUTUS RIDGE,20,MACDONALD ST,3600,EVEN,N,1,3.00,20090206,3,Y,Y, ,CARPINUS,JAPONICA,JAPANESE HORNBEAM
2967,2797,W 21ST AV,ARBUTUS RIDGE,22,MACDONALD ST,3600,EVEN,N,1,3.00,20090206,3,Y,Y, ,CARPINUS,JAPONICA,JAPANESE HORNBEAM
2992,2793,W 20TH AV,ARBUTUS RIDGE,20,MACDONALD ST,3500,EVEN,N,1,3.00,20090211,3,Y,Y, ,CARPINUS,JAPONICA,JAPANESE HORNBEAM
966,2793,W 22ND AV,ARBUTUS RIDGE,20,MACDONALD ST,3700,EVEN,N,1,3.00,20090211,3,Y,Y, ,CARPINUS,JAPONICA,JAPANESE HORNBEAM
967,4038,MACDONALD ST,ARBUTUS RIDGE,2,MACDONALD ST,4000,EVEN,N,1,3.00,20090206,3,Y,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE
968,4038,MACDONALD ST,ARBUTUS RIDGE,4,MACDONALD ST,4000,EVEN,N,1,3.00,20090206,3,Y,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE
969,4038,MACDONALD ST,ARBUTUS RIDGE,6,MACDONALD ST,4000,EVEN,N,1,3.00,20090206,3,Y,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE
1075,5505,TRAFALGAR ST,ARBUTUS RIDGE,8,W 39TH AV,2800,EVEN,N,1,3.00,,9,N,Y, ,CORNUS,CONTROVERSA,GIANT DOGWOOD
1080,2162,W 33RD AV,ARBUTUS RIDGE,3,W 33RD AV,2100,EVEN,N,4,15.50,,3,N,Y, ,ACER,PSEUDOPLATANUS,SYCAMORE MAPLE
4395,2798,W 20TH AV,ARBUTUS RIDGE,8,MACDONALD ST,3600,EVEN,N,1,3.00,20090211,3,Y,Y, ,CARPINUS,JAPONICA,JAPANESE HORNBEAM
4396,2798,W 20TH AV,ARBUTUS RIDGE,10,MACDONALD ST,3600,EVEN,N,1,3.00,20090211,3,Y,Y, ,CARPINUS,JAPONICA,JAPANESE HORNBEAM
4398,2793,W 19TH AV,ARBUTUS RIDGE,20,MACDONALD ST,3400,EVEN,N,1,3.00,20090211,3,Y,Y, ,CARPINUS,JAPONICA,JAPANESE HORNBEAM
4399,2793,W 19TH AV,ARBUTUS RIDGE,22,MACDONALD ST,3400,EVEN,N,1,3.00,20090211,3,Y,Y, ,CARPINUS,JAPONICA,JAPANESE HORNBEAM
4400,2793,W 19TH AV,ARBUTUS RIDGE,24,MACDONALD ST,3400,EVEN,N,1,3.00,20090211,3,Y,Y, ,CARPINUS,JAPONICA,JAPANESE HORNBEAM
4423,2788,W 18TH AV,ARBUTUS RIDGE,10,MACDONALD ST,3400,EVEN,N,1,3.00,20090414,3,Y,Y, ,CARPINUS,JAPONICA,JAPANESE HORNBEAM
4428,2788,W 18TH AV,ARBUTUS RIDGE,12,MACDONALD ST,3400,EVEN,N,1,3.00,20090414,3,Y,Y, ,CARPINUS,JAPONICA,JAPANESE HORNBEAM
6051,4325,PUGET DRIVE,ARBUTUS RIDGE,4,PUGET DRIVE,4300,ODD,N,1,3.00,20100215,4,N,Y,IVORY SILK,SYRINGA,RETICULATA,TREE LILAC
6075,4335,PUGET DRIVE,ARBUTUS RIDGE,3,PUGET DRIVE,4300,ODD,N,1,3.00,20100215,4,N,Y,IVORY SILK,SYRINGA,RETICULATA,TREE LILAC
3030,2408,W 20TH AV,ARBUTUS RIDGE,20,BALSAM ST,3600,ODD,N,1,3.00,20120217,7,N,Y, ,CERCIDIPHYLLUM,JAPONICUM,KATSURA TREE
7235,2996,W 21ST AV,ARBUTUS RIDGE,7,W 21ST AV,2900,EVEN,N,4,13.00,,N,N,N, ,ABIES,BALSAMEA,BALSAM FIR 
7322,2996,W 21ST AV,ARBUTUS RIDGE,8,CARNARVON ST,3700,EVEN,N,6,37.00,,N,N,N, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR
7323,2996,W 21ST AV,ARBUTUS RIDGE,9,CARNARVON ST,3700,EVEN,N,2,12.00,,N,N,N, ,SORBUS,AMERICANA,AMERICAN MOUNTAIN ASH
7461,2708,W 24TH AV,ARBUTUS RIDGE,20,TRAFALGAR ST,3900,ODD,N,1,3.00,20111222,5,Y,Y,GLOBOSUM,ACER,PLATANOIDES,GLOBEHEAD NORWAY MAPLE
7462,2703,ALAMEIN AV,ARBUTUS RIDGE,10,TRAFALGAR ST,3900,ODD,N,1,3.00,20111222,5,Y,Y,GLOBOSUM,ACER,PLATANOIDES,GLOBEHEAD NORWAY MAPLE
10821,2838,W 17TH AV,ARBUTUS RIDGE,23,MACDONALD ST,3300,ODD,N,1,3.00,20091106,3,Y,Y, ,ACER,GRISEUM,PAPERBARK MAPLE
7821,2509,W 33RD AV,ARBUTUS RIDGE,5,W 33RD AV,2500,ODD,N,1,3.00,,6,N,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE
10823,2825,W 18TH AV,ARBUTUS RIDGE,9,MACDONALD ST,3300,ODD,N,1,3.00,20091106,3,Y,Y, ,ACER,GRISEUM,PAPERBARK MAPLE
7344,2996,W 21ST AV,ARBUTUS RIDGE,12,CARNARVON ST,3700,EVEN,N,5,32.00,,N,N,N, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR
10296,2838,W 17TH AV,ARBUTUS RIDGE,21,MACDONALD ST,3300,ODD,N,1,3.00,20091106,3,Y,Y, ,ACER,GRISEUM,PAPERBARK MAPLE
10105,4020,TRAFALGAR ST,ARBUTUS RIDGE,2,TRAFALGAR ST,4000,EVEN,Y,1,3.00,20111228,5,N,Y,PRINCETON GOLD,ACER,PLATANOIDES,PRINCETON GOLD MAPLE
7352,4355,PUGET DRIVE,ARBUTUS RIDGE,2,PUGET DRIVE,4300,ODD,N,1,3.00,20100215,4,N,Y,IVORY SILK,SYRINGA,RETICULATA,TREE LILAC
12340,2447,MCMULLEN AV,ARBUTUS RIDGE,7,MCMULLEN AV,2400,ODD,N,1,3.00,20090122,N,N,Y, ,CORNUS,CONTROVERSA,GIANT DOGWOOD
12341,2427,MCMULLEN AV,ARBUTUS RIDGE,3,MCMULLEN AV,2400,ODD,N,1,3.00,20090122,N,N,Y, ,CORNUS,CONTROVERSA,GIANT DOGWOOD
14844,2806,W 17TH AV,ARBUTUS RIDGE,12,MACDONALD ST,3300,EVEN,N,1,3.00,20090414,3,Y,Y, ,CARPINUS,JAPONICA,JAPANESE HORNBEAM
14907,2032,NANTON AV,ARBUTUS RIDGE,4,NANTON AV,2000,EVEN,N,1,3.00,20100217,4,Y,Y,IVORY SILK,SYRINGA,RETICULATA,TREE LILAC
15114,4017,MACDONALD ST,ARBUTUS RIDGE,7,MACDONALD ST,4000,ODD,N,1,3.00,20091105,G,Y,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE
14929,2044,NANTON AV,ARBUTUS RIDGE,2,NANTON AV,2000,EVEN,N,1,3.00,20100217,4,Y,Y,IVORY SILK,SYRINGA,RETICULATA,TREE LILAC
15067,4019,MACDONALD ST,ARBUTUS RIDGE,3,MACDONALD ST,4000,ODD,Y,1,3.00,20091105,G,Y,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE
15085,4009,MACDONALD ST,ARBUTUS RIDGE,6,MACDONALD ST,4000,ODD,N,1,3.00,20091105,G,Y,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE
12331,2467,MCMULLEN AV,ARBUTUS RIDGE,6,MCMULLEN AV,2400,ODD,N,1,3.00,20090122,N,N,Y, ,CORNUS,CONTROVERSA,GIANT DOGWOOD
13419,4787,ELM ST,ARBUTUS RIDGE,5,ELM ST,4700,ODD,N,1,3.00,20090127,10,N,Y, ,ACER,GRISEUM,PAPERBARK MAPLE
12162,4430,HAGGART ST,ARBUTUS RIDGE,2,HAGGART ST,4400,EVEN,N,1,3.00,20090123,12,N,Y, ,CORNUS,CONTROVERSA,GIANT DOGWOOD
