TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,CELL,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME
554,1294,GRANVILLE ST,DOWNTOWN,1,GRANVILLE ST,1200,EVEN,N,1,3.00,20091026,C,N,Y, ,FAGUS,SYLVATICA,EUROPEAN BEECH
1560,1457,HOWE ST,DOWNTOWN,7,HOWE ST,1400,ODD,N,2,4.50,,3,N,Y,AKEBONO,PRUNUS,X YEDOENSIS,AKEBONO FLOWERING CHERRY
2685,501,PACIFIC BOULEVARD,DOWNTOWN,6,PACIFIC BOULEVARD,500,ODD,N,2,5.50,,G,N,Y, ,QUERCUS,PALUSTRIS,PIN OAK
2701,501,PACIFIC BOULEVARD,DOWNTOWN,6,PACIFIC BOULEVARD,500,ODD,N,4,11.50,,G,N,Y, ,FAGUS,SYLVATICA,EUROPEAN BEECH
2706,1391,RICHARDS ST,DOWNTOWN,1,RICHARDS ST,1300,ODD,N,2,6.50,,G,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
2718,501,PACIFIC BOULEVARD,DOWNTOWN,8,RICHARDS ST,1300,ODD,N,2,6.00,,G,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
2736,828,DRAKE ST,DOWNTOWN,1,DRAKE ST,800,EVEN,N,1,3.00,20111206,C,N,Y,VANESSA,PARROTIA,PERSICA,VANESSA PERSIAN IRONWOOD
2644,501,PACIFIC BOULEVARD,DOWNTOWN,2,PACIFIC BOULEVARD,500,ODD,N,2,3.00,,G,N,Y, ,QUERCUS,RUBRA,RED OAK
2645,501,PACIFIC BOULEVARD,DOWNTOWN,2,PACIFIC BOULEVARD,500,ODD,N,4,10.00,,G,N,Y, ,QUERCUS,PALUSTRIS,PIN OAK
2648,501,PACIFIC BOULEVARD,DOWNTOWN,3,PACIFIC BOULEVARD,500,ODD,N,2,3.00,,G,N,Y, ,QUERCUS,RUBRA,RED OAK
2656,501,PACIFIC BOULEVARD,DOWNTOWN,4,PACIFIC BOULEVARD,500,ODD,N,4,6.50,,G,N,Y, ,QUERCUS,PALUSTRIS,PIN OAK
2659,501,PACIFIC BOULEVARD,DOWNTOWN,5,PACIFIC BOULEVARD,500,ODD,N,4,7.50,,G,N,Y, ,QUERCUS,RUBRA,RED OAK
