TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,CELL,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME
1454,1249,BURRARD ST,WEST END,7,BURRARD ST,1200,ODD,N,2,4.50,,C,N,Y, ,ACER,RUBRUM,RED MAPLE
1464,1237,BURRARD ST,WEST END,7,BURRARD ST,1200,ODD,N,4,12.25,,C,N,Y, ,ACER,RUBRUM,RED MAPLE
1465,1229,BURRARD ST,WEST END,6,BURRARD ST,1200,ODD,N,2,4.00,,C,N,Y, ,ACER,RUBRUM,RED MAPLE
579,855,BURRARD ST,WEST END,2,BURRARD ST,800,ODD,N,1,3.00,20081203,C,Y,Y,AUTUMN BLAZE,ACER,FREEMANI   X,AUTUMN BLAZE RED MAPLE
647,1260,NELSON ST,WEST END,13,JERVIS ST,1000,EVEN,N,1,3.00,20081208,8,Y,Y,ARMSTRONG,ACER,FREEMANI   X,ARMSTRONG RED MAPLE
2569,1157,DAVIE ST,WEST END,18,DAVIE ST,1100,ODD,N,5,38.00,,L,N,N, ,POPULUS,TRICHOCARPA,BLACK COTTONWOOD
2571,1155,DAVIE ST,WEST END,14,DAVIE ST,1100,ODD,N,4,26.00,,L,N,N, ,POPULUS,TRICHOCARPA,BLACK COTTONWOOD
2582,1155,DAVIE ST,WEST END,15,DAVIE ST,1100,ODD,N,2,5.00,,L,N,N, ,BETULA,PENDULA,EUROPEAN WHITE BIRCH
2589,1155,DAVIE ST,WEST END,17,DAVIE ST,1100,ODD,N,2,5.00,,L,N,N, ,MALUS,SPECIES,APPLE SPECIES
2608,1151,DAVIE ST,WEST END,16,DAVIE ST,1100,ODD,N,2,19.00,,L,N,N, ,POPULUS,TRICHOCARPA,BLACK COTTONWOOD
4148,1691,HARWOOD ST,WEST END,23,BIDWELL ST,1300,EVEN,N,2,12.00,,7,N,Y, ,ULMUS,AMERICANA,AMERICAN ELM
8303,751,DENMAN ST,WEST END,21,DENMAN ST,700,ODD,N,4,14.00,,L,N,Y, ,CARPINUS,BETULUS,EUROPEAN HORNBEAM
8305,751,DENMAN ST,WEST END,22,DENMAN ST,700,ODD,N,4,10.00,,L,N,Y, ,CARPINUS,BETULUS,EUROPEAN HORNBEAM
6698,845,BUTE ST,WEST END,6,BUTE ST,800,ODD,N,5,19.00,,B,N,Y, ,PINUS,SYLVESTRIS,SCOTCH PINE
6697,845,BUTE ST,WEST END,6,BUTE ST,800,ODD,N,5,16.00,,B,N,Y, ,PINUS,SYLVESTRIS,SCOTCH PINE
4326,1675,HARWOOD ST,WEST END,2,HARWOOD ST,1600,ODD,N,4,9.00,,6,N,Y,FASTIGIATA,QUERCUS,ROBUR,PYRAMIDAL ENGLISH OAK
4327,1609,HARWOOD ST,WEST END,2,HARWOOD ST,1600,ODD,N,4,13.25,,6,N,Y,FASTIGIATA,QUERCUS,ROBUR,PYRAMIDAL ENGLISH OAK
4328,1609,HARWOOD ST,WEST END,7,HARWOOD ST,1600,ODD,N,2,0.50,,6,N,Y, ,QUERCUS,ROBUR,ENGLISH OAK
8241,1095,JERVIS ST,WEST END,23,JERVIS ST,1000,ODD,N,4,14.00,,L,N,N, ,THUJA,PLICATA,WESTERN RED CEDAR
8233,1095,JERVIS ST,WEST END,22,JERVIS ST,1000,ODD,N,2,5.00,,L,N,N, ,CORNUS,SPECIES,DOGWOOD SPECIES
8246,1095,JERVIS ST,WEST END,24,JERVIS ST,1000,ODD,N,4,14.00,,L,N,N, ,THUJA,PLICATA,WESTERN RED CEDAR
8247,1095,JERVIS ST,WEST END,24,JERVIS ST,1000,ODD,N,2,5.00,,L,N,N, ,CORNUS,SPECIES,DOGWOOD SPECIES
