TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,CELL,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME
589,4694,W 8TH AV,WEST POINT GREY,12,BLANCA ST,2400,EVEN,N,5,32.00,,B,N,Y, ,ALNUS,RUGOSA,SPECKLED ALDER
2180,4786,W 2ND AV,WEST POINT GREY,6,W 2ND AV,4700,EVEN,N,2,7.00,,N,N,N, ,RHUS,TYPHINA,STAGHORN SUMAC
1909,3707,W 2ND AV,WEST POINT GREY,2,W 2ND AV,3700,ODD,N,4,24.00,,10,N,Y, ,BETULA,NIGRA,RIVER BIRCH
1910,3707,W 2ND AV,WEST POINT GREY,5,W 2ND AV,3700,ODD,N,5,22.00,,10,N,Y, ,BETULA,NIGRA,RIVER BIRCH
1915,3708,W 2ND AV,WEST POINT GREY,23,ALMA ST,1800,ODD,N,3,16.00,,6,N,Y,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM
1917,3732,W 2ND AV,WEST POINT GREY,1,W 2ND AV,3700,EVEN,N,2,14.00,,N,N,Y, ,MALUS,FLORIBUNDA,JAPANESE FLOWERING CRABAPPLE
1920,3738,W 2ND AV,WEST POINT GREY,7,W 2ND AV,3700,EVEN,N,3,14.00,,N,N,Y, ,MALUS,FLORIBUNDA,JAPANESE FLOWERING CRABAPPLE
1922,3755,W 2ND AV,WEST POINT GREY,7,W 2ND AV,3700,ODD,N,3,10.00,,N,N,Y, ,MALUS,FLORIBUNDA,JAPANESE FLOWERING CRABAPPLE
1925,3768,W 2ND AV,WEST POINT GREY,7,W 2ND AV,3700,EVEN,N,3,18.00,,N,N,Y, ,MALUS,FLORIBUNDA,JAPANESE FLOWERING CRABAPPLE
1928,3791,W 2ND AV,WEST POINT GREY,2,W 2ND AV,3700,ODD,N,3,12.25,,N,N,Y, ,MALUS,FLORIBUNDA,JAPANESE FLOWERING CRABAPPLE
1943,3805,W 2ND AV,WEST POINT GREY,8,HIGHBURY ST,1700,ODD,N,5,24.00,,10,N,N,PLENA,PRUNUS,AVIUM,WILD CHERRY 
1946,3805,W 2ND AV,WEST POINT GREY,10,HIGHBURY ST,1700,ODD,N,5,20.00,,10,N,N,PLENA,PRUNUS,AVIUM,WILD CHERRY 
1947,3805,W 2ND AV,WEST POINT GREY,12,HIGHBURY ST,1700,ODD,N,5,22.50,,10,N,N,PLENA,PRUNUS,AVIUM,WILD CHERRY 
1950,3808,W 2ND AV,WEST POINT GREY,19,HIGHBURY ST,1800,ODD,N,4,24.00,,10,N,N, ,PRUNUS,SARGENTII,SARGENT FLOWERING CHERRY
1952,3808,W 2ND AV,WEST POINT GREY,21,HIGHBURY ST,1800,ODD,N,4,30.00,,10,N,N, ,PRUNUS,SARGENTII,SARGENT FLOWERING CHERRY
1957,3816,W 2ND AV,WEST POINT GREY,2,W 2ND AV,3800,EVEN,N,3,14.00,,10,N,N, ,MALUS,FLORIBUNDA,JAPANESE FLOWERING CRABAPPLE
1958,3817,W 2ND AV,WEST POINT GREY,1,W 2ND AV,3800,ODD,N,3,14.00,,10,N,N, ,MALUS,FLORIBUNDA,JAPANESE FLOWERING CRABAPPLE
1962,3822,W 2ND AV,WEST POINT GREY,7,W 2ND AV,3800,EVEN,N,3,16.00,,10,N,N, ,MALUS,FLORIBUNDA,JAPANESE FLOWERING CRABAPPLE
1963,3831,W 2ND AV,WEST POINT GREY,1,W 2ND AV,3800,ODD,N,2,4.00,,10,N,N, ,MALUS,FLORIBUNDA,JAPANESE FLOWERING CRABAPPLE
