Election Date,Election Type,Parliament,Province,Riding,Last Name,First Name,Gender,Occupation,Party,Votes,Votes (%),Elected
1867-08-07,Gen,1,New Brunswick,ALBERT,WALLACE,John,,farmer,Liberal,778,52.14,1
1867-08-07,Gen,1,New Brunswick,ALBERT,STEVENS,Henry J.,,,Unknown,714,47.86,0
1867-08-07,Gen,1,New Brunswick,CARLETON,CONNELL,Hon. Charles,,general merchant,Liberal,accl.,,1
1867-08-07,Gen,1,New Brunswick,CHARLOTTE,BOLTON,John,,businessman,Liberal,1214,56.94,1
1867-08-07,Gen,1,New Brunswick,CHARLOTTE,THOMPSON,Robert,,,Unknown,918,43.06,0
1867-08-07,Gen,1,New Brunswick,CITY AND COUNTY OF ST. JOHN,GRAY,Hon. John H.,,lawyer,Conservative,accl.,,1
1867-08-07,Gen,1,New Brunswick,CITY OF ST. JOHN,TILLEY,Hon. Samuel Leonard,,druggist,Liberal-Conservative,1402,69.68,1
1867-08-07,Gen,1,New Brunswick,CITY OF ST. JOHN,WILSON,John,,,Unknown,610,30.32,0
1867-08-07,Gen,1,New Brunswick,GLOUCESTER,ANGLIN,Hon. Timothy Warren,,editor,Liberal,1061,61.26,1
1867-08-07,Gen,1,New Brunswick,GLOUCESTER,MEHAN,John,,,Unknown,671,38.74,0
1867-08-07,Gen,1,New Brunswick,KENT,RENAUD,Auguste,,farmer,Liberal,876,41.28,1
1867-08-07,Gen,1,New Brunswick,KENT,DES BRISAY,,,,Unknown,757,35.67,0
1867-08-07,Gen,1,New Brunswick,KENT,MCINERNAY,,,,Unknown,485,22.86,0
1867-08-07,Gen,1,New Brunswick,KENT,CUTLER,,,,Unknown,4,0.19,0
1867-08-07,Gen,1,New Brunswick,KING'S,RYAN,George,,farmer,Liberal,1303,54.61,1
1867-08-07,Gen,1,New Brunswick,KING'S,OTTY,,,,Unknown,1083,45.39,0
1867-08-07,Gen,1,New Brunswick,NORTHUMBERLAND,JOHNSON,Hon. John M.,,lawyer,Liberal,1226,61.83,1
1867-08-07,Gen,1,New Brunswick,NORTHUMBERLAND,GILLESPIE,Thos.F.,,,Unknown,757,38.17,0
1867-08-07,Gen,1,New Brunswick,QUEEN'S,FARRIS,John,,lumber merchant,Liberal,accl.,,1
1867-08-07,Gen,1,New Brunswick,RESTIGOUCHE,MCMILLAN,Hon. John,,merchant,Liberal,370,58.82,1
1867-08-07,Gen,1,New Brunswick,RESTIGOUCHE,PHILLIPS,John,,,Unknown,259,41.18,0
1867-08-07,Gen,1,New Brunswick,SUNBURY,BURPEE,Charles,,farmer,Liberal,664,60.97,1
1867-08-07,Gen,1,New Brunswick,SUNBURY,PERLEY,Wm. C.,,,Unknown,425,39.03,0
1867-08-07,Gen,1,New Brunswick,VICTORIA,COSTIGAN,John,,judge,Liberal-Conservative,778,57.93,1
1867-08-07,Gen,1,New Brunswick,VICTORIA,BEVERIDGE,Wm. B.,,,Unknown,549,40.88,0
1867-08-07,Gen,1,New Brunswick,VICTORIA,WORKMAN,James,,,Unknown,16,1.19,0
1867-08-07,Gen,1,New Brunswick,VICTORIA,TIBBETTS,James,,,Unknown,0,0,0
1867-08-07,Gen,1,New Brunswick,WESTMORLAND,SMITH,Hon. Albert James,,lawyer,Liberal,2207,82.94,1
1867-08-07,Gen,1,New Brunswick,WESTMORLAND,LANDRY,J.J.D.,,,Unknown,454,17.06,0
1867-08-07,Gen,1,New Brunswick,YORK,FISHER,Hon. Charles,,lawyer,Liberal,accl.,,1
1867-08-07,Gen,1,Nova Scotia,ANNAPOLIS,RAY,William H.,,farmer,Anti-Confederate,1171,53.54,1
1867-08-07,Gen,1,Nova Scotia,ANNAPOLIS,LONGLEY,,,merchant,Conservative,1016,46.46,0
1867-08-07,Gen,1,Nova Scotia,ANTIGONISH,MCDONALD,Hugh,,lawyer,Anti-Confederate,1238,76.04,1
